x,y
31,22
39,36
25,37
20,22
29,27
39,29
29,23
23,39
35,30
29,36
35,28
27,25
28,32
26,23
28,32
27,23
40,27
20,37
33,24
21,22
20,21
22,24
31,24
32,26
24,21
26,30
39,21
35,32
39,27
36,37
39,36
40,38
37,38
33,27
32,29
28,21
29,27
37,37
31,38
26,34
24,35
37,30
37,31
20,35
31,37
25,26
22,38
20,26
30,27
34,34
38,37
23,21
21,31
24,26
20,29
28,34
40,24
25,27
27,38
34,39
27,24
22,30
23,38
22,29
28,20
36,23
21,40
38,34
24,24
25,29
20,35
36,39
24,39
32,27
30,29
30,34
24,26
31,34
33,30
36,34
22,26
23,27
25,23
28,25
21,28
31,32
28,38
26,32
27,32
23,36
32,21
37,29
32,21
30,37
22,28
22,27
32,37
33,29
37,37
31,39
46,37
51,55
48,50
50,46
49,36
53,48
41,48
41,53
35,46
41,49
51,50
39,55
36,49
55,53
49,36
52,52
47,46
51,37
51,50
43,45
42,50
51,43
36,53
44,35
44,47
51,36
40,52
52,37
53,49
48,43
45,55
40,38
35,42
51,39
36,40
38,49
42,45
47,44
35,39
44,47
41,50
39,46
51,51
48,53
47,55
38,46
42,42
45,42
38,43
36,36
52,49
44,45
44,37
40,35
43,42
50,46
52,54
51,42
55,55
48,42
40,42
40,52
45,46
53,40
52,44
44,50
41,55
43,45
42,41
41,53
47,38
44,54
42,37
54,48
52,39
51,35
36,55
41,36
51,52
48,48
39,46
36,45
38,53
35,52
49,37
49,43
53,49
36,50
46,50
45,39
40,36
43,44
54,46
40,51
53,43
39,39
51,38
44,54
51,40
46,42
